mix_id,cement,bfs,fa,water,binder,w_b,fa_b,bfs_b,temp,Su,E0,alpha,t0,R2
A12,352.18,234.72,0.0,352.14,586.9,0.6,0.0,0.3999318452888056,40.0,50.646427157283284,42243.19840764049,0.0019504594275363113,0.539528844375749,0.9848352434154686
A13,175.55,409.6,0.0,351.09,585.1500000000001,0.5999999999999999,0.0,0.6999914551824318,5.0,26.167418662718994,46026.31399864988,0.0038233716144927764,1.2357414803940592,0.9981123132858973
A13,175.55,409.6,0.0,351.09,585.1500000000001,0.5999999999999999,0.0,0.6999914551824318,10.0,25.781648761965023,47272.018671047896,0.006875720998453931,0.06636994661108919,1.0
A13,175.55,409.6,0.0,351.09,585.1500000000001,0.5999999999999999,0.0,0.6999914551824318,20.0,45.52385818941125,44798.98093632721,0.0019445144718695957,1.1881337897340571,0.9968868676535162
A13,175.55,409.6,0.0,351.09,585.1500000000001,0.5999999999999999,0.0,0.6999914551824318,30.0,38.5724412152912,45052.546675466874,0.01711975403718354,0.4040088527769561,0.9962564467745525
A13,175.55,409.6,0.0,351.09,585.1500000000001,0.5999999999999999,0.0,0.6999914551824318,40.0,40.590427781304456,40953.6197287766,0.004293539798497569,0.5759350921143735,0.999998347211835
A14,498.36,0.0,87.94,351.78,586.3,0.6,0.14999147194269147,0.0,5.0,31.2284502278346,41014.814697090056,0.006847462075833403,1.3568970141154408,0.9995970273527904
A14,498.36,0.0,87.94,351.78,586.3,0.6,0.14999147194269147,0.0,10.0,38.04846417918449,43600.4104748962,0.0014580878745861932,0.6149452874905608,0.9937530937060367
A14,498.36,0.0,87.94,351.78,586.3,0.6,0.14999147194269147,0.0,20.0,37.452030811547715,41649.83569453621,0.012932347335362405,0.5536069346461711,0.9897682125615426
A14,498.36,0.0,87.94,351.78,586.3,0.6,0.14999147194269147,0.0,30.0,44.03785633332437,43803.69729281022,0.00307616185044039,1.0316055283760302e-14,0.9417894946178054
A14,498.36,0.0,87.94,351.78,586.3,0.6,0.14999147194269147,0.0,40.0,48.67955638763807,43858.41913280943,0.004420060049574477,4.29375425810649e-15,0.9971263919911443
A15,408.35,0.0,175.04,350.03,583.39,0.5999931435232005,0.3000394247415965,0.0,5.0,21.788482582567553,43679.16641720385,0.011549145700002596,2.2857505482889623e-13,0.9963796491734679
A15,408.35,0.0,175.04,350.03,583.39,0.5999931435232005,0.3000394247415965,0.0,10.0,29.719847378648996,42528.34864740011,0.0016102932859231585,1.346031220347109,0.9902079351119689
A15,408.35,0.0,175.04,350.03,583.39,0.5999931435232005,0.3000394247415965,0.0,20.0,33.4572525433171,43274.664225971464,0.008099386984610142,0.35879949152604795,0.9945720461357642
A15,408.35,0.0,175.04,350.03,583.39,0.5999931435232005,0.3000394247415965,0.0,30.0,43.65839624011734,45090.0820598684,0.0022679524898693263,2.217194237817565e-15,0.9802179291073225
A15,408.35,0.0,175.04,350.03,583.39,0.5999931435232005,0.3000394247415965,0.0,40.0,52.49932176710992,45095.00594261555,0.0011309690606060075,1.697647188680889e-13,0.9996544884325074
A2,398.96,265.98,0.0,265.98,664.94,0.4000060155803531,0.0,0.4000060155803531,5.0,96.08906272156868,44773.291885802224,1e-05,0.8272658678482459,0.9988366871690803
A2,398.96,265.98,0.0,265.98,664.94,0.4000060155803531,0.0,0.4000060155803531,10.0,51.55903201971577,44989.737354463985,0.01831887771912951,2.535257141753909e-15,0.9997036316341228
A2,398.96,265.98,0.0,265.98,664.94,0.4000060155803531,0.0,0.4000060155803531,20.0,77.43438661618899,43027.93966332803,0.0011232426820847411,0.5687461674639676,0.9996729868921369
A2,398.96,265.98,0.0,265.98,664.94,0.4000060155803531,0.0,0.4000060155803531,30.0,67.78042319567335,42164.23673212064,0.0031271713421151684,0.4071247303737614,0.9985110486267691
A2,398.96,265.98,0.0,265.98,664.94,0.4000060155803531,0.0,0.4000060155803531,40.0,66.18408463212327,40083.78581721218,0.0002816603530400629,0.6318234631839852,0.9850985411201727
A3,198.74,463.97,0.0,265.08,662.71,0.3999939641773928,0.0,0.7001101537625809,5.0,38.670849009363,44914.36078515269,0.0031238091616778672,0.6742061001782083,0.9998117272687044
A3,198.74,463.97,0.0,265.08,662.71,0.3999939641773928,0.0,0.7001101537625809,10.0,57.099891891126276,42581.74494296542,1e-05,1.7762344460446258,0.9962254564666945
A3,198.74,463.97,0.0,265.08,662.71,0.3999939641773928,0.0,0.7001101537625809,20.0,38.538632241018966,43333.522277840806,0.014725055036358212,0.7792518792896088,0.9980342648276631
A3,198.74,463.97,0.0,265.08,662.71,0.3999939641773928,0.0,0.7001101537625809,30.0,55.31523202287774,40711.086766302775,0.007114651930521073,0.6899612841867101,0.9832390825646491
A3,198.74,463.97,0.0,265.08,662.71,0.3999939641773928,0.0,0.7001101537625809,40.0,41.339242812354485,38369.289193075936,0.0037918298368400235,0.5217036784847485,0.9734001510557619
A4,564.55,0.0,99.63,265.67,664.18,0.3999969887681051,0.15000451684784247,0.0,5.0,57.19527163397407,41255.913492412976,0.006458954216083631,0.9203333716509701,0.9988817027394182
A4,564.55,0.0,99.63,265.67,664.18,0.3999969887681051,0.15000451684784247,0.0,10.0,56.290262942087836,39712.843186220256,0.0008641660860728081,1.629160788848194,0.9894885236842302
A4,564.55,0.0,99.63,265.67,664.18,0.3999969887681051,0.15000451684784247,0.0,20.0,59.208582003600064,40731.05589359319,0.012879511106440599,0.3974484231015222,0.998079366169665
A4,564.55,0.0,99.63,265.67,664.18,0.3999969887681051,0.15000451684784247,0.0,30.0,59.05317893550997,40199.93712443545,0.002433696222825693,0.3637971721424669,0.983916523228901
A4,564.55,0.0,99.63,265.67,664.18,0.3999969887681051,0.15000451684784247,0.0,40.0,58.530531564602406,41920.286890247495,0.006852245638280373,4.971013229539064e-15,0.9609112711490798
A5,462.3,0.0,198.15,264.18,660.45,0.39999999999999997,0.3000227117874177,0.0,5.0,53.564590332247235,41588.0511297352,0.0016636394417144625,0.8435570443750912,0.9992399838872896
A5,462.3,0.0,198.15,264.18,660.45,0.39999999999999997,0.3000227117874177,0.0,10.0,40.414981272220736,43042.24129218166,0.02353193816836214,0.6112521854839541,0.9994324898750682
A5,462.3,0.0,198.15,264.18,660.45,0.39999999999999997,0.3000227117874177,0.0,20.0,61.41786611547429,42089.809352147495,0.0021146522086282335,0.13301992778098296,0.9897432311137562
A5,462.3,0.0,198.15,264.18,660.45,0.39999999999999997,0.3000227117874177,0.0,30.0,57.73478776057011,43154.64685048365,0.004377684987192429,7.22706270492908e-17,0.9955175385021183
A5,462.3,0.0,198.15,264.18,660.45,0.39999999999999997,0.3000227117874177,0.0,40.0,56.15330416200136,42869.047822410736,0.01987286413008168,4.867538897916606e-16,0.9911172192273249
A6,499.85,124.95,0.0,312.4,624.8000000000001,0.4999999999999999,0.0,0.19998399487836105,5.0,60.12587308893538,42901.30683807735,0.0013923849543250187,1.2238849244552987,0.9864566306387149
A6,499.85,124.95,0.0,312.4,624.8000000000001,0.4999999999999999,0.0,0.19998399487836105,10.0,50.309820063118025,41390.30648149217,0.0015463466527765768,1.3098342830085832,0.9905089851637622
A6,499.85,124.95,0.0,312.4,624.8000000000001,0.4999999999999999,0.0,0.19998399487836105,20.0,59.67669674109486,42687.64665373774,0.001724846498014556,0.5384393608971969,0.9843513030796944
A6,499.85,124.95,0.0,312.4,624.8000000000001,0.4999999999999999,0.0,0.19998399487836105,30.0,53.72169468383947,41223.612639133025,0.0021707694212481496,0.43285605656629084,0.9961113030833593
